conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
11347,15108,Mali,Government of Mali,72,"Government of Bhutan, Government of Madagascar, Government of Mexico, Government of Mauritania, Government of United Kingdom, Government of Gambia, Government of Cameroon, Government of Denmark, Government of Lithuania, Government of Ukraine, Government of Bangladesh, Government of Tunisia, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Niger, Government of Portugal, Government of Burundi, Government of Sweden, Government of Switzerland, Government of Burkina Faso, Government of Ethiopia, Government of Nigeria, Government of Estonia, Government of Norway, Government of Canada, Government of Belgium, Government of Guatemala, Government of Latvia, Government of Bosnia-Herzegovina, Government of Pakistan, Government of Spain, Government of United States of America, Government of Turkey, Government of Senegal, Government of Armenia, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Sri Lanka, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Kenya, Government of Austria, Government of Czech Republic, Government of Germany, Government of Jordan, Government of Romania, Government of Nepal, Government of Indonesia, Government of Netherlands, Government of Chad, Government of El Salvador, Government of Benin",JNIM,6716,,2,,2019,422,421,566,4,Mali,432,"530, 420, 70, 371, 760, 770, 366, 325, 305, 483, 205, 20, 235, 385, 438, 435, 811, 651, 450, 2, 210, 360, 316, 367, 580, 475, 369, 663, 439, 780, 771, 200, 346, 90, 437, 850, 434, 461, 390, 501, 433, 616, 516, 436, 368, 260, 640, 211, 710, 220, 451, 380, 790, 230, 225, 471, 375, 452, 92",,,432,432,4,22.1
11347,15108,Mali,Government of Mali,72,"Government of Bhutan, Government of Madagascar, Government of Mexico, Government of Mauritania, Government of United Kingdom, Government of Gambia, Government of Cameroon, Government of Denmark, Government of Lithuania, Government of Ukraine, Government of Bangladesh, Government of Tunisia, Government of Ireland, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Niger, Government of Portugal, Government of Burundi, Government of Sweden, Government of Switzerland, Government of Burkina Faso, Government of Ethiopia, Government of Nigeria, Government of Estonia, Government of Norway, Government of Canada, Government of Belgium, Government of Guatemala, Government of Latvia, Government of Bosnia-Herzegovina, Government of Pakistan, Government of Spain, Government of Zambia, Government of United States of America, Government of Senegal, Government of Armenia, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Sri Lanka, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Kenya, Government of Austria, Government of Czech Republic, Government of Germany, Government of Jordan, Government of Romania, Government of Nepal, Government of Indonesia, Government of Iran, Government of Netherlands, Government of Chad, Government of El Salvador, Government of Australia, Government of Benin",JNIM,6716,,2,,2020,517,498,650,4,Mali,432,"530, 420, 70, 371, 760, 770, 900, 366, 325, 305, 483, 205, 20, 235, 385, 438, 435, 811, 651, 450, 2, 210, 360, 316, 367, 580, 475, 369, 663, 551, 439, 630, 780, 771, 200, 346, 90, 437, 850, 434, 461, 390, 501, 433, 616, 516, 436, 368, 260, 211, 710, 220, 451, 380, 790, 230, 225, 471, 375, 452, 92",,,432,432,4,22.1
11347,15108,Mali,Government of Mali,72,"Government of Bhutan, Government of Mexico, Government of Mauritania, Government of United Kingdom, Government of Gambia, Government of Cameroon, Government of Denmark, Government of Lithuania, Government of Ukraine, Government of Bangladesh, Government of Tunisia, Government of Ireland, Government of Pakistan, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Niger, Government of Portugal, Government of Burundi, Government of Sweden, Government of Switzerland, Government of Burkina Faso, Government of Ethiopia, Government of Luxembourg, Government of Estonia, Government of Nigeria, Government of Canada, Government of Belgium, Government of Guatemala, Government of Latvia, Government of Bosnia-Herzegovina, Government of Norway, Government of Spain, Government of Zambia, Government of United States of America, Government of Turkey, Government of Senegal, Government of Armenia, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Sri Lanka, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Kenya, Government of Austria, Government of Czech Republic, Government of Germany, Government of Jordan, Government of Romania, Government of Nepal, Government of Indonesia, Government of Iran, Government of Netherlands, Government of Chad, Government of El Salvador, Government of Australia, Government of Benin",JNIM,6716,,2,,2021,616,578,660,4,Mali,432,"530, 420, 70, 371, 760, 770, 900, 366, 325, 305, 483, 205, 20, 235, 385, 438, 435, 811, 651, 450, 2, 210, 360, 316, 367, 475, 369, 663, 551, 439, 630, 780, 771, 200, 346, 90, 437, 850, 434, 212, 390, 501, 461, 433, 616, 516, 436, 368, 260, 640, 211, 710, 220, 451, 380, 790, 230, 225, 471, 375, 452, 92",,,432,432,4,22.1
11347,12575,Mali,Government of Mali,72,,AQIM,539,,2,,2009,87,54,93,3,Mali,432,,,,432,432,4,22.1
11347,"11986, 11987",Mali,Government of Mali,72,,"Military faction (Red Berets), Ansar Dine","1157, 1164",,2,,2012,87,83,270,3,Mali,432,,,,432,432,4,22.1
11347,"12571, 12575, 11986, 12578",Mali,Government of Mali,72,"Government of Mauritania, Government of Tajikistan, Government of United Kingdom, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Guinea-Bissau, Government of Rwanda, Government of Burundi, Government of Sweden, Government of Burkina Faso, Government of Nigeria, Government of Norway, Government of Estonia, Government of Belgium, Government of United States of America, Government of Senegal, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Germany, Government of Jordan, Government of Yemen (North Yemen), Government of Nepal, Government of Niger, Government of Chad, Government of Bangladesh, Government of Benin","Signed-in-Blood Battalion, MUJAO, AQIM, Ansar Dine","1161, 539, 1157, 3481",,2,,2013,836,836,1004,4,"Niger, Mali",432,"678, 366, 325, 483, 385, 438, 435, 811, 651, 450, 2, 404, 475, 663, 439, 771, 200, 437, 461, 434, 433, 516, 436, 260, 211, 710, 220, 451, 380, 517, 790, 375, 452, 702",,,432,"436, 432",4,22.1
11347,"12582, 12575",Mali,Government of Mali,72,"Government of Mauritania, Government of Tajikistan, Government of United Kingdom, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Guinea-Bissau, Government of Rwanda, Government of Burundi, Government of Sweden, Government of Burkina Faso, Government of Nigeria, Government of Norway, Government of Estonia, Government of Belgium, Government of United States of America, Government of Senegal, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Germany, Government of Jordan, Government of Nepal, Government of Niger, Government of Chad, Government of Bangladesh, Government of Benin","AQIM, al-Murabitun","539, 4376",,2,,2014,95,95,129,4,Mali,432,"366, 325, 483, 385, 438, 435, 811, 651, 450, 2, 404, 475, 663, 439, 771, 200, 437, 461, 434, 433, 516, 436, 260, 211, 710, 220, 451, 380, 517, 790, 375, 452, 702",,,432,432,4,22.1
11347,"12575, 11986",Mali,Government of Mali,72,"Government of Bhutan, Government of Madagascar, Government of DR Congo (Zaire), Government of Mauritania, Government of United Kingdom, Government of Gambia, Government of Djibouti, Government of Cameroon, Government of Denmark, Government of Bangladesh, Government of Tunisia, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Niger, Government of Portugal, Government of Guinea-Bissau, Government of Rwanda, Government of Burundi, Government of Sweden, Government of Switzerland, Government of Burkina Faso, Government of Nigeria, Government of Norway, Government of Estonia, Government of Belgium, Government of Latvia, Government of Bosnia-Herzegovina, Government of United States of America, Government of Turkey, Government of Senegal, Government of Armenia, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Kenya, Government of Austria, Government of Czech Republic, Government of Germany, Government of Jordan, Government of Romania, Government of Yemen (North Yemen), Government of Nepal, Government of Indonesia, Government of Netherlands, Government of Chad, Government of El Salvador, Government of Benin","AQIM, Ansar Dine","539, 1157",,2,,2015,74,72,109,4,Mali,432,"420, 371, 760, 678, 366, 325, 305, 483, 235, 385, 438, 435, 811, 651, 450, 2, 404, 210, 316, 367, 580, 475, 360, 663, 439, 771, 200, 522, 346, 437, 850, 434, 461, 390, 501, 433, 616, 516, 490, 436, 640, 260, 211, 710, 220, 451, 380, 517, 790, 225, 471, 375, 452, 92",,,432,432,4,22.1
11348,11989,"South Sudan, Sudan",Government of South Sudan,113,,Government of Sudan,112,,1,Common border,2012,367,367,1099,2,"South Sudan, Sudan",626,,625,,"625, 626","625, 626",4,22.1
11349,11990,China,Government of China,135,,ETIM,1156,,1,East Turkestan,2008,36,36,39,3,China,710,,,,710,710,3,22.1
11350,"10985, 11991",Bangladesh,Government of Bangladesh,143,,"PBCP, PBCP-J","1165, 805",,2,,2005,62,61,68,3,Bangladesh,771,,,,771,771,3,22.1
11350,11991,Bangladesh,Government of Bangladesh,143,,PBCP-J,1165,,2,,2006,57,57,58,3,Bangladesh,771,,,,771,771,3,22.1
14935,16023,Ethiopia,Government of Ethiopia,97,,Military faction (forces of Asaminew Tsige),7438,,1,Amhara,2019,27,27,27,3,Ethiopia,530,,,,530,530,4,22.1
327,714,Angola,Government of Angola,99,Government of Cuba,UNITA,567,,2,,1989,2810,2810,6283,4,Angola,540,40,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,,UNITA,567,,2,,1990,2558,2557,4452,3,Angola,540,,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,,UNITA,567,,2,,1991,491,491,647,3,Angola,540,,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,,UNITA,567,,2,,1992,2321,2321,3572,3,Angola,540,,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,,UNITA,567,,2,,1993,12054,12054,23329,3,Angola,540,,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,,UNITA,567,,2,,1994,3924,3920,11087,3,"DR Congo (Zaire), Angola",540,,,,540,"490, 540",4,22.1
327,714,Angola,Government of Angola,99,,UNITA,567,,2,,1995,162,162,522,3,Angola,540,,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,,UNITA,567,,2,,1998,1041,1041,1516,3,Angola,540,,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,Government of Namibia,UNITA,567,,2,,1999,2273,2273,6431,4,"Angola, Namibia",540,565,,,540,"565, 540",4,22.1
327,714,Angola,Government of Angola,99,Government of Namibia,UNITA,567,,2,,2000,1000,407,3799,4,"Angola, Namibia",540,565,,,540,"565, 540",4,22.1
327,714,Angola,Government of Angola,99,Government of Namibia,UNITA,567,,2,,2001,1123,1123,2447,4,Angola,540,565,,,540,540,4,22.1
327,714,Angola,Government of Angola,99,Government of Namibia,UNITA,567,,2,,2002,470,466,470,4,"Angola, Namibia",540,565,,,540,"565, 540",4,22.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2016,68,68,68,3,Pakistan,770,,,,770,770,3,22.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2017,80,80,81,3,Pakistan,770,,,,770,770,3,22.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2018,51,51,51,3,Pakistan,770,,,,770,770,3,22.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2019,29,29,29,3,Pakistan,770,,,,770,770,3,22.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2021,26,26,26,3,Pakistan,770,,,,770,770,3,22.1
329,718,Ethiopia,Government of Ethiopia,97,,AIAI,542,,1,Ogaden,1993,36,36,36,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,1994,50,50,50,3,Ethiopia,530,,,,530,530,4,22.1
329,"718, 719",Ethiopia,Government of Ethiopia,97,,"AIAI, ONLF","497, 542",,1,Ogaden,1996,211,211,481,3,"Somalia, Ethiopia",530,,,,530,"530, 520",4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,1998,25,6,90,3,Ethiopia,530,,,,530,530,4,22.1
329,"718, 719",Ethiopia,Government of Ethiopia,97,,"AIAI, ONLF","497, 542",,1,Ogaden,1999,50,50,640,3,"Somalia, Ethiopia",530,,,,530,"530, 520",4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2000,25,0,855,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2001,25,25,117,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2002,25,25,637,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2003,25,25,260,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2004,25,25,525,3,"Somalia, Ethiopia",530,,,,530,"530, 520",4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2005,58,58,695,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2006,25,0,818,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2007,152,152,737,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2008,25,25,416,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2009,473,473,995,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2010,126,123,1860,3,"Somalia, Ethiopia",530,,,,530,"530, 520",4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2011,25,25,379,3,"Kenya, Ethiopia",530,,,,530,"530, 501",4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2012,25,25,406,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2013,52,52,908,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2014,25,25,222,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2015,25,0,138,3,Ethiopia,530,,,,530,530,4,22.1
329,719,Ethiopia,Government of Ethiopia,97,,ONLF,497,,1,Ogaden,2016,25,0,50,3,Ethiopia,530,,,,530,530,4,22.1
330,720,Indonesia,Government of Indonesia,155,,CNRT,290,,1,East Timor,1992,39,39,39,3,Indonesia,850,,,,850,850,3,22.1
330,720,Indonesia,Government of Indonesia,155,,CNRT,290,,1,East Timor,1997,51,51,79,3,Indonesia,850,,,,850,850,3,22.1
330,720,Indonesia,Government of Indonesia,155,,CNRT,290,,1,East Timor,1998,30,14,48,3,Indonesia,850,,,,850,850,3,22.1
330,720,Indonesia,Government of Indonesia,155,,CNRT,290,,1,East Timor,1999,26,26,30,3,Indonesia,850,,,,850,850,3,22.1
11447,10006,Ethiopia,Government of Ethiopia,97,,IGLF,1115,,1,Hararghe,1991,100,100,100,3,Ethiopia,530,,,,530,530,4,22.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2016,30,30,137,3,"Iraq, Iran",630,,,,630,"630, 645",2,22.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2018,44,33,78,3,"Iraq, Iran",630,,,,630,"630, 645",2,22.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1990,31,31,335,3,Iran,630,,,,630,630,2,22.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1993,110,110,110,3,"Iraq, Iran",630,,,,630,"630, 645",2,22.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1996,27,27,29,3,"Iraq, Iran",630,,,,630,"630, 645",2,22.1
209,"411, 412",Philippines,Government of Philippines,154,,"Military faction (forces of Honasan, Abenina & Zumel), CPP","169, 170",,2,,1989,822,801,885,3,Philippines,840,,,,840,840,3,22.1
209,"411, 412",Philippines,Government of Philippines,154,,"Military faction (forces of Honasan, Abenina & Zumel), CPP","169, 170",,2,,1990,1165,1165,1174,3,Philippines,840,,,,840,840,3,22.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1991,1514,1514,1933,3,Philippines,840,,,,840,840,3,22.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1992,430,430,454,3,Philippines,840,,,,840,840,3,22.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1993,99,99,114,3,Philippines,840,,,,840,840,3,22.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1994,69,69,73,3,Philippines,840,,,,840,840,3,22.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1995,36,36,41,3,Philippines,840,,,,840,840,3,22.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1997,32,32,32,3,Philippines,840,,,,840,840,3,22.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1999,93,93,98,3,Philippines,840,,,,840,840,3,22.1
