id,call,city,state,country,date,lat,lon,elev,atmp,ntmp,nbtmp,nyrt,eyrt,amax,nbmax,amin,nbmin,himax,hidy,lomin,lody,totpcp,nmpcp,nbdypcp,nyrp,eyrp,nbtr,nbdyrep,nbobs,totrepr
01047,ENKA,KAUTOKEINO,-99999,NORWAY,202501,69.0000,23.0349,307,-15.10,-14.40,62,-99999,2020,-11.30,31,-18.90,31,5.7,16,-34.7,5,38.9,24.2,30,-99999,2020,0,31,124,39.0
01049,ENAT,ALTA_AIRPORT,-99999,NORWAY,202501,69.9800,23.3700,3,-6.80,-6.80,62,-99999,2020,-4.30,31,-9.20,31,8.2,17,-22.9,9,29.1,39.3,31,-99999,2020,0,31,248,29.1
01052,ENHF,HAMMERFEST,-99999,NORWAY,202501,70.6807,23.6772,81,-3.20,-4.30,62,-99999,2020,-1.20,31,-5.20,31,6.3,17,-13.0,9,73.1,-99999,31,-99999,2020,0,31,248,73.1
01055,-99999,FRUHOLMEN_(LGT-H),-99999,NORWAY,202501,71.0937,24.0000,14,-0.60,-1.20,62,-99999,2020,0.80,31,-2.00,31,6.2,17,-8.4,22,-99999,-99999,0,-99999,2020,0,0,0,-99999
01057,-99999,CUOVDATMAKKI,-99999,NORWAY,202501,69.3696,24.4315,286,-15.30,-13.70,60,-99999,2020,-10.80,31,-19.70,30,4.9,16,-34.8,11,31.8,19.9,31,-99999,2020,0,31,92,22.2
01058,-99999,SUOLOVUOPMI_LULIT,-99999,NORWAY,202501,69.5797,23.5345,381,-13.10,-13.20,62,-99999,2020,-9.70,31,-16.50,31,3.9,16,-34.2,21,27.0,-99999,31,-99999,2020,0,31,248,27.0
01059,ENNA,BANAK,-99999,NORWAY,202501,70.0670,24.9830,8,-8.00,-8.20,62,-99999,2020,-5.30,31,-10.70,31,8.2,16,-31.1,9,-99999,19.2,0,-99999,2020,0,0,0,-99999
01062,ENHO,HOPEN_ISLAND,-99999,NORWAY,202501,76.5097,25.0700,10,-6.70,-9.00,62,-99999,2020,-5.30,31,-8.20,31,1.3,30,-20.4,20,39.0,34.7,29,-99999,2020,0,31,124,32.2
01064,-99999,ISKORAS_II,-99999,NORWAY,202501,69.3003,25.3800,591,-9.00,-10.00,62,-99999,2020,-7.20,31,-10.80,31,2.5,16,-18.7,23,-99999,-99999,0,-99999,2020,0,0,0,-99999
01065,-99999,KARASJOK,-99999,NORWAY,202501,69.4667,25.5031,129,-17.10,-15.20,62,-99999,2020,-13.50,31,-20.70,31,4.9,16,-34.8,9,30.4,23.2,31,-99999,2020,11,31,248,30.4
01068,ENHV,HONNINGSVAG/VALAN,-99999,NORWAY,202501,71.0200,25.9800,14,-1.70,-2.60,62,-99999,2020,-0.30,31,-3.10,31,6.3,17,-9.5,22,163.3,-99999,31,-99999,2020,0,31,217,163.3
01074,ENMH,MEHAMN,-99999,NORWAY,202501,71.0330,27.8300,13,-2.90,-4.20,62,-99999,2020,-0.90,31,-4.90,31,5.1,17,-14.7,9,222.9,-99999,31,-99999,2020,0,31,188,222.9
01076,-99999,TANABRU,-99999,NORWAY,202501,70.2122,28.1590,32,-9.10,-10.30,62,-99999,2020,-5.90,31,-12.30,31,5.2,17,-26.8,4,29.9,-99999,31,-99999,2020,0,31,248,29.9
01078,-99999,SLETNES_FYR,-99999,NORWAY,202501,71.0900,28.2200,10,-1.90,-3.30,58,-99999,2020,0.00,29,-3.80,30,5.4,17,-11.3,22,-99999,53.1,0,-99999,2020,0,0,0,-99999
01082,-99999,NYRUD,-99999,NORWAY,202501,69.1475,29.2427,56,-14.10,-13.20,62,-99999,2020,-10.30,31,-17.90,31,4.2,18,-33.3,11,40.1,-99999,31,-99999,2020,0,31,217,40.1
01083,ENBV,BERLEVAG,-99999,NORWAY,202501,70.8731,29.0424,13,-2.70,-4.40,62,-99999,2020,-0.60,31,-4.70,31,5.1,16,-14.0,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01084,-99999,PASVIK,-99999,NORWAY,202501,69.4552,30.0410,27,-12.10,-13.80,62,-99999,2020,-8.90,31,-15.30,31,4.4,18,-33.7,9,55.5,-99999,31,-99999,2020,0,31,216,55.5
01086,-99999,BATSFJORD_AP,-99999,NORWAY,202501,70.6036,29.7000,152,-4.90,-6.10,62,-99999,2020,-2.60,31,-7.10,31,4.3,17,-15.9,22,-99999,-99999,0,-99999,2020,0,0,0,-99999
01088,ENVD,VADSO,-99999,NORWAY,202501,70.0653,29.8500,39,-4.90,-6.20,62,-99999,2020,-2.80,31,-7.00,31,4.1,17,-16.1,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01089,ENKR,KIRKENES,-99999,NORWAY,202501,69.7330,29.9000,91,-9.10,-10.00,62,-99999,2020,-6.70,31,-11.50,31,4.0,16,-23.2,10,-99999,28.8,0,-99999,2020,0,0,0,-99999
01091,-99999,LOSISTUA,-99999,NORWAY,202501,68.1900,17.7800,99999,-8.50,-9.70,20,-99999,2020,-5.30,12,-11.50,11,0.6,26,-24.3,23,2.9,-99999,12,-99999,2020,0,12,75,2.9
01092,-99999,MAKKAUR_FYR,-99999,NORWAY,202501,70.7057,30.0800,9,-2.30,-3.80,62,-99999,2020,-0.40,31,-4.10,31,5.8,17,-11.0,23,-99999,-99999,0,-99999,2020,0,0,0,-99999
01098,-99999,VARDO,-99999,NORWAY,202501,70.3670,31.1000,15,-1.80,-3.60,56,-99999,2020,-0.10,28,-3.60,29,5.3,17,-9.5,11,48.7,51.0,29,-99999,2020,0,29,225,48.7
01099,-99999,VARDO_AP,-99999,NORWAY,202501,70.3513,31.0502,12,-3.40,-4.40,62,-99999,2020,-1.00,31,-5.80,31,4.6,17,-12.6,22,-99999,-99999,0,-99999,2020,0,0,0,-99999
01102,-99999,SKLINNA_FYR,-99999,NORWAY,202501,65.2023,11.0000,23,2.60,2.10,62,-99999,2020,3.80,31,1.30,31,9.5,17,-3.8,3,-99999,-99999,0,-99999,2020,0,0,0,-99999
01105,-99999,ROTVAER,-99999,NORWAY,202501,68.3680,15.9430,8,-0.10,-0.60,62,-99999,2020,1.10,31,-1.30,31,8.3,17,-6.6,23,-99999,-99999,0,-99999,2020,0,0,0,-99999
01107,-99999,ROST_(NOR-AFB),-99999,NORWAY,202501,67.5267,12.1038,4,2.00,1.80,62,-99999,2020,3.30,31,0.70,31,8.5,17,-3.0,8,104.5,-99999,31,-99999,2020,0,31,124,104.5
01108,-99999,VEGA-VALLSJO,-99999,NORWAY,202501,65.7017,11.8562,9,1.00,0.40,62,-99999,2020,2.90,31,-0.90,31,9.5,17,-8.9,24,121.9,120.1,31,-99999,2020,5,31,248,121.0
01112,ENBN,BRONNOYSUND/BRONNOY,-99999,NORWAY,202501,65.4700,12.2200,9,1.20,0.20,62,-99999,2020,2.70,31,-0.40,31,9.8,17,-6.3,23,-99999,-99999,0,-99999,2020,0,0,0,-99999
01114,-99999,REIPA,-99999,NORWAY,202501,66.9000,13.6330,8,-0.20,-1.40,62,-99999,2020,2.20,31,-2.50,31,9.1,17,-12.8,7,182.6,148.1,31,-99999,2020,0,31,248,182.6
01115,-99999,MYKEN_ISLAND,-99999,NORWAY,202501,66.7628,12.4860,17,2.30,1.80,62,-99999,2020,3.40,31,1.10,31,8.3,17,-3.1,9,75.4,83.0,31,-99999,2020,0,31,248,75.4
01116,ENST,SANDNESSJOEN/STOKKA,-99999,NORWAY,202501,65.9700,12.4785,17,0.70,0.10,62,-99999,2020,2.50,31,-1.00,31,9.2,17,-7.1,24,-99999,-99999,0,-99999,2020,0,0,0,-99999
01117,-99999,TJOTTA,-99999,NORWAY,202501,65.8295,12.4300,21,0.50,0.30,62,-99999,2020,1.90,31,-0.90,31,8.9,17,-7.6,23,208.2,-99999,31,-99999,2020,0,31,206,208.2
01121,-99999,SOLVAER_III,-99999,NORWAY,202501,66.3700,12.6100,10,1.50,1.00,62,-99999,2020,2.70,31,0.20,31,8.2,16,-5.0,7,-99999,-99999,0,-99999,2020,0,0,0,-99999
01122,ENMS,MOSJOEN_KJAERSTAD,-99999,NORWAY,202501,65.7842,13.2200,73,-3.00,-5.30,62,-99999,2020,-0.60,31,-5.40,31,9.3,17,-15.9,3,275.1,-99999,31,-99999,2020,0,31,248,275.1
01124,-99999,SNASA,-99999,NORWAY,202501,64.1587,12.4692,195,-2.20,-4.00,60,-99999,2020,0.10,31,-4.50,30,7.9,16,-24.9,6,92.5,100.0,31,-99999,2020,0,31,243,92.5
01132,-99999,MAJAVATN_V,-99999,NORWAY,202501,65.1662,13.3667,319,-4.30,-6.00,62,-99999,2020,-1.80,31,-6.80,31,6.9,17,-24.7,3,212.9,-99999,31,-99999,2020,0,31,248,212.9
01133,-99999,LAKSFORS,-99999,NORWAY,202501,65.6215,13.2892,50,-3.40,-5.20,62,-99999,2020,-0.90,31,-5.80,31,9.6,15,-19.0,3,187.3,-99999,31,-99999,2020,0,31,248,187.3
01135,-99999,SELJELIA,-99999,NORWAY,202501,66.1317,13.5867,126,-3.00,-4.10,62,-99999,2020,-1.30,31,-4.80,31,7.2,15,-13.9,23,283.3,-99999,31,-99999,2020,0,31,217,283.3
01136,-99999,SOMNA-KVALOYFJELLET,-99999,NORWAY,202501,65.2200,11.9928,302,-2.50,-1.00,20,-99999,2020,-1.20,11,-3.70,10,1.9,29,-7.9,3,-99999,-99999,0,-99999,2020,0,0,0,-99999
01139,-99999,VALROY,-99999,NORWAY,202501,67.6800,12.7228,11,1.90,1.60,40,-99999,2020,3.30,20,0.50,20,8.6,15,-4.5,3,-99999,-99999,0,-99999,2020,0,0,0,-99999
01141,ENLK,LEKNES,-99999,NORWAY,202501,68.1558,13.6200,26,-0.10,-1.00,62,-99999,2020,2.00,31,-2.20,31,9.7,17,-12.7,7,254.5,-99999,31,-99999,2020,0,31,248,254.5
01143,-99999,DRAG-AJLUOKTA,-99999,NORWAY,202501,68.0484,16.0829,19,-1.40,-2.20,62,-99999,2020,0.50,31,-3.30,31,8.2,15,-13.7,23,154.0,-99999,31,-99999,2020,0,31,217,154.0
01144,-99999,HELLIGVAER_II,-99999,NORWAY,202501,67.4048,13.8958,24,1.10,0.60,62,-99999,2020,2.20,31,0.00,31,8.0,17,-5.6,8,-99999,-99999,0,-99999,2020,0,0,0,-99999
01146,-99999,SKAMDAL,-99999,NORWAY,202501,66.2348,13.9040,37,-1.10,-3.20,48,-99999,2020,0.50,25,-2.90,24,8.2,15,-12.8,23,218.3,-99999,25,-99999,2020,0,25,194,218.3
01147,-99999,VARNTRESK,-99999,NORWAY,202501,65.8255,14.1942,406,-4.40,-5.80,62,-99999,2020,-2.70,31,-6.20,31,6.2,17,-16.5,24,144.8,84.0,31,-99999,2020,0,31,217,144.8
01148,-99999,STORFORSHEI,-99999,NORWAY,202501,66.3962,14.5300,110,-3.90,-7.10,46,-99999,2020,-1.00,23,-6.90,23,6.7,15,-23.1,23,220.7,-99999,31,-99999,2020,0,31,248,220.7
01150,-99999,HJARTASEN,-99999,NORWAY,202501,66.4993,14.9540,251,-5.60,-6.90,62,-99999,2020,-3.10,31,-8.10,31,8.2,15,-19.8,7,225.0,-99999,30,-99999,2020,6,31,217,223.7
01151,ENRA,MOIRANA/ROSSVOLL,-99999,NORWAY,202501,66.3700,14.3015,70,-4.60,-99999,62,-99999,-99999,-1.80,31,-7.30,31,7.5,15,-22.2,7,-99999,-99999,0,-99999,-99999,0,0,0,-99999
01152,ENBO,BODO_VI_(CIV/MIL),-99999,NORWAY,202501,67.2726,14.3826,16,-0.20,-0.60,62,-99999,2020,1.40,31,-1.90,31,9.4,17,-8.7,23,123.1,96.9,31,-99999,2020,0,31,248,123.1
01156,-99999,BO_I_VESTERALEN,-99999,NORWAY,202501,68.6072,14.4347,8,0.60,0.10,62,-99999,2020,1.90,31,-0.80,31,8.3,17,-5.9,6,123.4,-99999,31,-99999,2020,0,31,248,123.4
01158,-99999,SETSA,-99999,NORWAY,202501,67.1658,15.4857,7,-2.30,-3.50,62,-99999,2020,0.20,31,-4.70,31,10.2,17,-15.8,7,89.7,-99999,31,-99999,2020,0,31,248,89.7
01160,-99999,SKROVA_FYR,-99999,NORWAY,202501,68.1535,14.6500,14,0.90,0.80,62,-99999,2020,2.10,31,-0.40,31,7.6,16,-4.9,8,-99999,-99999,0,-99999,2020,0,0,0,-99999
01161,ENSH,SVOLVAER/HELLE,-99999,NORWAY,202501,68.2500,14.6700,9,0.10,0.00,62,-99999,2020,1.50,31,-1.30,31,8.2,15,-7.5,6,-99999,-99999,0,-99999,2020,0,0,0,-99999
01162,ENSK,STORKMARKNES/SKAGEN,-99999,NORWAY,202501,68.5801,15.0289,3,-1.40,-0.70,62,-99999,2020,0.90,31,-3.70,31,8.6,17,-12.7,6,-99999,-99999,0,-99999,2020,0,0,0,-99999
01169,-99999,SALTDAL-NORDNES,-99999,NORWAY,202501,66.9368,15.3155,39,-4.80,-4.80,62,-99999,2020,-2.10,31,-7.40,31,8.6,17,-22.1,7,81.5,37.9,31,-99999,2020,0,31,248,81.5
01180,-99999,HARSTAD,-99999,NORWAY,202501,68.8029,16.5362,45,-1.90,-2.60,62,-99999,2020,-0.20,31,-3.70,31,9.1,17,-9.8,10,105.4,-99999,31,-99999,2020,0,31,248,105.4
01183,ENEV,EVENES_(CIV/MIL),-99999,NORWAY,202501,68.5200,16.6833,26,-1.40,-4.80,46,-99999,2020,0.40,24,-3.60,23,8.1,17,-14.9,23,-99999,-99999,0,-99999,2020,0,0,0,-99999
01192,-99999,STRAUMSNES,-99999,NORWAY,202501,68.4320,17.6620,200,-3.50,-4.40,62,-99999,2020,-1.50,31,-5.50,31,8.4,15,-14.1,23,180.9,-99999,31,-99999,2020,0,31,217,180.9
01198,-99999,DIVIDALEN_II,-99999,NORWAY,202501,68.7817,19.7017,204,-10.10,-7.70,62,-99999,2020,-6.60,31,-13.60,31,9.6,17,-27.0,7,56.2,26.1,31,-99999,2020,0,31,248,56.2
01199,-99999,SICCAJAVRE,-99999,NORWAY,202501,68.7553,23.5387,382,-15.40,-13.90,58,-99999,2020,-11.50,30,-18.80,29,3.3,17,-34.5,5,16.0,23.3,12,-99999,2020,0,0,0,-99999
01203,-99999,KRAKNES_(AMOS),-99999,NORWAY,202501,62.0340,4.9865,72,3.70,3.70,62,-99999,2020,4.70,31,2.60,31,9.7,18,-4.0,3,-99999,-99999,0,-99999,2020,0,0,0,-99999
01205,-99999,SVINOY_(LGT-H),-99999,NORWAY,202501,62.3300,5.2700,41,4.10,4.10,62,-99999,2020,5.20,31,3.00,31,10.3,17,-4.8,3,-99999,-99999,0,-99999,2020,0,0,0,-99999
01209,ENOV,ORSTA-VOLDA,-99999,NORWAY,202501,62.1804,6.0781,74,-0.70,0.40,62,-99999,2020,2.00,31,-3.30,31,12.7,17,-17.0,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01210,ENAL,ALESUND/VIGRA,-99999,NORWAY,202501,62.5700,6.1200,22,3.00,3.00,62,-99999,2020,4.60,31,1.40,31,13.3,17,-8.1,9,0.0,143.1,31,-99999,2020,0,31,124,0.0
01212,-99999,ONA_II,-99999,NORWAY,202501,62.8667,6.5331,8,3.90,3.80,62,-99999,2020,5.00,31,2.70,31,12.0,17,-3.3,3,0.0,-99999,31,-99999,2020,0,31,124,0.0
01214,-99999,REKDAL,-99999,NORWAY,202501,62.6512,6.7552,43,2.60,2.80,62,-99999,2020,4.30,31,1.00,31,15.4,17,-5.5,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01217,ENML,MOLDE/ARO,-99999,NORWAY,202501,62.7500,7.2700,3,0.90,0.90,62,-99999,2020,2.90,31,-1.10,31,13.0,17,-11.6,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01218,-99999,TAFJORD,-99999,NORWAY,202501,62.2305,7.4218,17,1.00,2.20,62,-99999,2020,3.20,31,-1.30,31,16.0,17,-10.1,9,54.8,125.6,31,-99999,2020,0,31,247,54.8
01220,-99999,MANNEN,-99999,NORWAY,202501,62.4500,7.7700,1294,-5.90,-7.00,62,-99999,2020,-4.10,31,-7.60,31,8.2,17,-16.3,6,67.0,-99999,31,-99999,2020,0,31,124,67.0
01221,-99999,TAGDALEN,-99999,NORWAY,202501,63.0500,9.0878,450,-2.80,-2.30,42,-99999,2020,-1.40,26,-4.80,23,8.7,17,-14.4,6,37.8,-99999,27,-99999,2020,0,27,90,37.8
01223,ENKB,KRISTIANSUND/VERNBERGE,-99999,NORWAY,202501,63.1200,7.8300,62,2.00,1.60,62,-99999,2020,3.70,31,0.30,31,14.1,17,-8.0,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01224,-99999,SKALMEN_FYR,-99999,NORWAY,202501,62.4703,6.2108,15,3.20,3.30,62,-99999,2020,4.80,31,1.60,31,14.9,17,-6.9,9,130.4,-99999,31,-99999,2020,0,31,248,130.4
01225,-99999,VEIHOLMEN,-99999,NORWAY,202501,63.5200,7.9500,5,3.50,3.20,62,-99999,2020,4.80,31,2.30,31,11.2,17,-3.1,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01227,-99999,INNERDALEN,-99999,NORWAY,202501,62.7220,8.7753,405,-1.60,0.00,62,-99999,2020,1.30,31,-4.40,31,15.0,17,-16.2,9,96.5,128.2,31,-99999,2020,0,31,217,96.5
01228,-99999,SULA,-99999,NORWAY,202501,63.8500,8.4700,6,3.20,2.90,62,-99999,2020,4.40,31,2.00,31,10.5,17,-4.5,3,0.0,-99999,31,-99999,2020,0,31,122,0.0
01229,-99999,LEBERGSFJELLET,-99999,NORWAY,202501,62.5158,6.8717,625,-0.80,-1.30,56,-99999,2020,0.50,29,-2.40,29,10.0,17,-10.5,3,-99999,-99999,0,-99999,2020,0,0,0,-99999
01230,-99999,BJORLI,-99999,NORWAY,202501,62.2583,8.2000,579,-7.80,-6.40,62,-99999,2020,-4.10,31,-11.40,31,11.2,17,-28.0,9,68.2,-99999,31,-99999,2020,0,31,217,68.2
01232,-99999,MARSTEIN,-99999,NORWAY,202501,62.4458,7.8400,67,-0.70,-0.20,62,-99999,2020,2.00,31,-3.30,31,17.0,17,-14.2,9,75.9,-99999,31,-99999,2020,0,31,217,75.9
01233,-99999,DOMBAAS,-99999,NORWAY,202501,62.0830,9.1170,638,-5.60,-6.00,62,-99999,2020,-2.90,31,-8.40,31,9.9,15,-18.8,6,25.9,41.5,31,-99999,2020,0,31,248,25.9
01234,-99999,ORKDAL-THAMSHAMN,-99999,NORWAY,202501,63.3153,9.8495,4,-1.40,-2.60,62,-99999,2020,1.00,31,-3.70,31,13.6,17,-18.1,6,22.4,-99999,31,-99999,2020,0,31,217,22.4
01237,-99999,HITRA,-99999,NORWAY,202501,63.5187,9.1125,13,2.20,2.00,62,-99999,2020,3.90,31,0.50,31,12.6,17,-8.9,6,89.5,129.9,31,-99999,2020,0,31,248,89.5
01238,-99999,FOKSTUA,-99999,NORWAY,202501,62.1167,9.2831,952,-6.30,-7.00,62,-99999,2020,-3.80,31,-8.70,31,8.5,17,-21.2,6,36.9,32.1,31,-99999,2020,1,31,248,26.8
01239,-99999,HJERKINN_II,-99999,NORWAY,202501,62.2207,9.5423,1012,-6.10,-6.50,62,-99999,2020,-3.80,31,-8.40,31,6.9,15,-18.0,6,38.5,-99999,31,-99999,2020,0,31,248,38.5
01240,-99999,HALTEN_FYR,-99999,NORWAY,202501,64.1700,9.4000,16,3.20,2.70,62,-99999,2020,4.50,31,1.90,31,10.8,17,-4.0,8,-99999,-99999,0,-99999,2020,0,0,0,-99999
01241,ENOL,ORLAND_III(NOR-AFB),-99999,NORWAY,202501,63.7044,9.6104,10,1.80,1.10,62,-99999,2020,3.40,31,0.10,31,12.0,17,-8.7,1,98.7,86.7,29,-99999,2020,0,31,124,74.4
01242,-99999,AFJORD_II,-99999,NORWAY,202501,63.9678,10.2237,30,0.30,-0.50,62,-99999,2020,2.20,31,-1.70,31,11.4,17,-13.2,6,183.1,-99999,31,-99999,2020,0,31,124,183.1
01245,-99999,OPPDAL-SETER,-99999,NORWAY,202501,62.6027,9.6660,604,-3.30,-3.70,62,-99999,2020,-0.50,31,-6.20,31,11.5,15,-17.4,6,18.8,47.8,31,-99999,2020,0,31,246,18.8
01250,-99999,FOLLDAL-FREDHEIM,-99999,NORWAY,202501,62.1282,9.9947,694,-7.80,-10.30,62,-99999,2020,-3.80,31,-11.70,31,9.8,17,-30.5,12,39.1,-99999,31,-99999,2020,0,31,217,39.1
01253,-99999,SOKNEDAL,-99999,NORWAY,202501,62.9535,10.1788,299,-3.30,-3.20,62,-99999,2020,-0.40,31,-6.10,31,10.7,13,-18.8,6,58.7,-99999,31,-99999,2020,0,31,217,58.7
