"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Democrat","Sheila Bilyeu (write-in)",6
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Green","Angela Green",674
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Libertarian","Barry Hess (write-in)",1
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Independent","Jeff Pearce (write-in)",0
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"The Old Republic Party","Jonathan Ringham (write-in)",0
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Democrat","Kyrsten Sinema",7643
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Republican","Martha McSally",12180
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"No party","Michael DeCarlo",0
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Republican","Robert Kay (write-in)",1
"AZ","Gila","04007","0400700000","US Senate","statewide",20499,"Democrat","Sheila Bilyeu (write-in)",0
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Green","Angela Green",363
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Libertarian","Barry Hess (write-in)",4
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Independent","Jeff Pearce (write-in)",0
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"The Old Republic Party","Jonathan Ringham (write-in)",1
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Democrat","Kyrsten Sinema",3368
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Republican","Martha McSally",6870
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"No party","Michael DeCarlo",0
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Republican","Robert Kay (write-in)",0
"AZ","Graham","04009","0400900000","US Senate","statewide",10606,"Democrat","Sheila Bilyeu (write-in)",0
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Green","Angela Green",108
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Libertarian","Barry Hess (write-in)",0
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Independent","Jeff Pearce (write-in)",0
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"The Old Republic Party","Jonathan Ringham (write-in)",0
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Democrat","Kyrsten Sinema",1042
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Republican","Martha McSally",1416
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"No party","Michael DeCarlo",0
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Republican","Robert Kay (write-in)",0
"AZ","Greenlee","04011","0401100000","US Senate","statewide",2567,"Democrat","Sheila Bilyeu (write-in)",1
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Green","Angela Green",199
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Libertarian","Barry Hess (write-in)",0
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Independent","Jeff Pearce (write-in)",0
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"The Old Republic Party","Jonathan Ringham (write-in)",0
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Democrat","Kyrsten Sinema",1609
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Republican","Martha McSally",3265
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"No party","Michael DeCarlo",0
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Republican","Robert Kay (write-in)",0
"AZ","La Paz","04012","0401200000","US Senate","statewide",5073,"Democrat","Sheila Bilyeu (write-in)",0
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Green","Angela Green",32371
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Libertarian","Barry Hess (write-in)",240
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Independent","Jeff Pearce (write-in)",12
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"The Old Republic Party","Jonathan Ringham (write-in)",27
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Democrat","Kyrsten Sinema",732761
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Republican","Martha McSally",672505
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"No party","Michael DeCarlo",16
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Republican","Robert Kay (write-in)",11
"AZ","Maricopa","04013","0401300000","US Senate","statewide",1437952,"Democrat","Sheila Bilyeu (write-in)",9
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Green","Angela Green",2027
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Libertarian","Barry Hess (write-in)",10
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Independent","Jeff Pearce (write-in)",1
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"The Old Republic Party","Jonathan Ringham (write-in)",2
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Democrat","Kyrsten Sinema",19214
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Republican","Martha McSally",50209
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"No party","Michael DeCarlo",2
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Republican","Robert Kay (write-in)",3
"AZ","Mohave","04015","0401500000","US Senate","statewide",71469,"Democrat","Sheila Bilyeu (write-in)",1
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Green","Angela Green",1238
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Libertarian","Barry Hess (write-in)",2
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Independent","Jeff Pearce (write-in)",3
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"The Old Republic Party","Jonathan Ringham (write-in)",1
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Democrat","Kyrsten Sinema",16624
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Republican","Martha McSally",18767
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"No party","Michael DeCarlo",2
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Republican","Robert Kay (write-in)",1
"AZ","Navajo","04017","0401700000","US Senate","statewide",36640,"Democrat","Sheila Bilyeu (write-in)",2
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Green","Angela Green",8710
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Libertarian","Barry Hess (write-in)",38
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Anti-Terror Party","Edward Davida (write-in)",1
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Independent","Jeff Pearce (write-in)",2
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"The Old Republic Party","Jonathan Ringham (write-in)",6
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Democrat","Kyrsten Sinema",221242
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Republican","Martha McSally",160550
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"No party","Michael DeCarlo",5
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Republican","Robert Kay (write-in)",4
"AZ","Pima","04019","0401900000","US Senate","statewide",390568,"Democrat","Sheila Bilyeu (write-in)",10
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Green","Angela Green",3183
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Libertarian","Barry Hess (write-in)",18
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Independent","Jeff Pearce (write-in)",2
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"The Old Republic Party","Jonathan Ringham (write-in)",4
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Democrat","Kyrsten Sinema",50395
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Republican","Martha McSally",63782
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"No party","Michael DeCarlo",6
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Republican","Robert Kay (write-in)",2
"AZ","Pinal","04021","0402100000","US Senate","statewide",117395,"Democrat","Sheila Bilyeu (write-in)",3
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Green","Angela Green",418
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Libertarian","Barry Hess (write-in)",1
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Independent","Jeff Pearce (write-in)",0
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"The Old Republic Party","Jonathan Ringham (write-in)",0
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Democrat","Kyrsten Sinema",9241
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Republican","Martha McSally",3828
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"No party","Michael DeCarlo",0
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Republican","Robert Kay (write-in)",0
"AZ","Santa Cruz","04023","0402300000","US Senate","statewide",13488,"Democrat","Sheila Bilyeu (write-in)",0
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Green","Angela Green",2870
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Libertarian","Barry Hess (write-in)",16
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Independent","Jeff Pearce (write-in)",2
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"The Old Republic Party","Jonathan Ringham (write-in)",0
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Democrat","Kyrsten Sinema",40160
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Republican","Martha McSally",65308
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"No party","Michael DeCarlo",7
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Republican","Robert Kay (write-in)",3
"AZ","Yavapai","04025","0402500000","US Senate","statewide",108368,"Democrat","Sheila Bilyeu (write-in)",2
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Green","Angela Green",1351
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Libertarian","Barry Hess (write-in)",3
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Independent","Jeff Pearce (write-in)",0
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"The Old Republic Party","Jonathan Ringham (write-in)",0
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Democrat","Kyrsten Sinema",19880
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Republican","Martha McSally",22532
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"No party","Michael DeCarlo",0
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Republican","Robert Kay (write-in)",0
"AZ","Yuma","04027","0402700000","US Senate","statewide",43767,"Democrat","Sheila Bilyeu (write-in)",1
"CA","Alameda","06001","0600100000","US Senate","statewide",545327,"Democrat","Dianne Feinstein",318377
"CA","Alameda","06001","0600100000","US Senate","statewide",545327,"Democrat","Kevin De Leon",226950
"CA","Alpine","06003","0600300000","US Senate","statewide",547,"Democrat","Dianne Feinstein",267
"CA","Alpine","06003","0600300000","US Senate","statewide",547,"Democrat","Kevin De Leon",280
"CA","Amador","06005","0600500000","US Senate","statewide",14079,"Democrat","Dianne Feinstein",5835
"CA","Amador","06005","0600500000","US Senate","statewide",14079,"Democrat","Kevin De Leon",8244
"CA","Butte","06007","0600700000","US Senate","statewide",75526,"Democrat","Dianne Feinstein",32418
"CA","Butte","06007","0600700000","US Senate","statewide",75526,"Democrat","Kevin De Leon",43108
"CA","Calaveras","06009","0600900000","US Senate","statewide",17388,"Democrat","Dianne Feinstein",7031
"CA","Calaveras","06009","0600900000","US Senate","statewide",17388,"Democrat","Kevin De Leon",10357
"CA","Colusa","06011","0601100000","US Senate","statewide",4682,"Democrat","Dianne Feinstein",1643
"CA","Colusa","06011","0601100000","US Senate","statewide",4682,"Democrat","Kevin De Leon",3039
"CA","Contra Costa","06013","0601300000","US Senate","statewide",381097,"Democrat","Dianne Feinstein",222349
"CA","Contra Costa","06013","0601300000","US Senate","statewide",381097,"Democrat","Kevin De Leon",158748
"CA","Del Norte","06015","0601500000","US Senate","statewide",6844,"Democrat","Dianne Feinstein",2590
"CA","Del Norte","06015","0601500000","US Senate","statewide",6844,"Democrat","Kevin De Leon",4254
"CA","El Dorado","06017","0601700000","US Senate","statewide",72563,"Democrat","Dianne Feinstein",33772
"CA","El Dorado","06017","0601700000","US Senate","statewide",72563,"Democrat","Kevin De Leon",38791
"CA","Fresno","06019","0601900000","US Senate","statewide",217048,"Democrat","Dianne Feinstein",103491
"CA","Fresno","06019","0601900000","US Senate","statewide",217048,"Democrat","Kevin De Leon",113557
"CA","Glenn","06021","0602100000","US Senate","statewide",6729,"Democrat","Dianne Feinstein",2341
"CA","Glenn","06021","0602100000","US Senate","statewide",6729,"Democrat","Kevin De Leon",4388
"CA","Humboldt","06023","0602300000","US Senate","statewide",47655,"Democrat","Dianne Feinstein",21336
"CA","Humboldt","06023","0602300000","US Senate","statewide",47655,"Democrat","Kevin De Leon",26319
"CA","Imperial","06025","0602500000","US Senate","statewide",30271,"Democrat","Dianne Feinstein",13121
"CA","Imperial","06025","0602500000","US Senate","statewide",30271,"Democrat","Kevin De Leon",17150
"CA","Inyo","06027","0602700000","US Senate","statewide",5876,"Democrat","Dianne Feinstein",2344
"CA","Inyo","06027","0602700000","US Senate","statewide",5876,"Democrat","Kevin De Leon",3532
"CA","Kern","06029","0602900000","US Senate","statewide",166609,"Democrat","Dianne Feinstein",66628
"CA","Kern","06029","0602900000","US Senate","statewide",166609,"Democrat","Kevin De Leon",99981
"CA","Kings","06031","0603100000","US Senate","statewide",25347,"Democrat","Dianne Feinstein",9599
"CA","Kings","06031","0603100000","US Senate","statewide",25347,"Democrat","Kevin De Leon",15748
"CA","Lake","06033","0603300000","US Senate","statewide",18459,"Democrat","Dianne Feinstein",8142
"CA","Lake","06033","0603300000","US Senate","statewide",18459,"Democrat","Kevin De Leon",10317
"CA","Lassen","06035","0603500000","US Senate","statewide",6818,"Democrat","Dianne Feinstein",2030
"CA","Lassen","06035","0603500000","US Senate","statewide",6818,"Democrat","Kevin De Leon",4788
"CA","Los Angeles","06037","0603700000","US Senate","statewide",2711211,"Democrat","Dianne Feinstein",1565167
"CA","Los Angeles","06037","0603700000","US Senate","statewide",2711211,"Democrat","Kevin De Leon",1146044
"CA","Madera","06039","0603900000","US Senate","statewide",32316,"Democrat","Dianne Feinstein",13284
"CA","Madera","06039","0603900000","US Senate","statewide",32316,"Democrat","Kevin De Leon",19032
"CA","Marin","06041","0604100000","US Senate","statewide",122957,"Democrat","Dianne Feinstein",80319
"CA","Marin","06041","0604100000","US Senate","statewide",122957,"Democrat","Kevin De Leon",42638
"CA","Mariposa","06043","0604300000","US Senate","statewide",6688,"Democrat","Dianne Feinstein",2749
"CA","Mariposa","06043","0604300000","US Senate","statewide",6688,"Democrat","Kevin De Leon",3939
"CA","Mendocino","06045","0604500000","US Senate","statewide",30642,"Democrat","Dianne Feinstein",15113
"CA","Mendocino","06045","0604500000","US Senate","statewide",30642,"Democrat","Kevin De Leon",15529
"CA","Merced","06047","0604700000","US Senate","statewide",51644,"Democrat","Dianne Feinstein",23659
"CA","Merced","06047","0604700000","US Senate","statewide",51644,"Democrat","Kevin De Leon",27985
"CA","Modoc","06049","0604900000","US Senate","statewide",2618,"Democrat","Dianne Feinstein",751
"CA","Modoc","06049","0604900000","US Senate","statewide",2618,"Democrat","Kevin De Leon",1867
"CA","Mono","06051","0605100000","US Senate","statewide",4198,"Democrat","Dianne Feinstein",2001
"CA","Mono","06051","0605100000","US Senate","statewide",4198,"Democrat","Kevin De Leon",2197
"CA","Monterey","06053","0605300000","US Senate","statewide",106882,"Democrat","Dianne Feinstein",56320
"CA","Monterey","06053","0605300000","US Senate","statewide",106882,"Democrat","Kevin De Leon",50562
"CA","Napa","06055","0605500000","US Senate","statewide",51194,"Democrat","Dianne Feinstein",27904
"CA","Napa","06055","0605500000","US Senate","statewide",51194,"Democrat","Kevin De Leon",23290
"CA","Nevada","06057","0605700000","US Senate","statewide",46109,"Democrat","Dianne Feinstein",22198
"CA","Nevada","06057","0605700000","US Senate","statewide",46109,"Democrat","Kevin De Leon",23911
"CA","Orange","06059","0605900000","US Senate","statewide",922492,"Democrat","Dianne Feinstein",501678
"CA","Orange","06059","0605900000","US Senate","statewide",922492,"Democrat","Kevin De Leon",420814
"CA","Placer","06061","0606100000","US Senate","statewide",143311,"Democrat","Dianne Feinstein",66578
"CA","Placer","06061","0606100000","US Senate","statewide",143311,"Democrat","Kevin De Leon",76733
"CA","Plumas","06063","0606300000","US Senate","statewide",7243,"Democrat","Dianne Feinstein",2815
"CA","Plumas","06063","0606300000","US Senate","statewide",7243,"Democrat","Kevin De Leon",4428
"CA","Riverside","06065","0606500000","US Senate","statewide",547976,"Democrat","Dianne Feinstein",269567
"CA","Riverside","06065","0606500000","US Senate","statewide",547976,"Democrat","Kevin De Leon",278409
"CA","Sacramento","06067","0606700000","US Senate","statewide",455520,"Democrat","Dianne Feinstein",241571
"CA","Sacramento","06067","0606700000","US Senate","statewide",455520,"Democrat","Kevin De Leon",213949
"CA","San Benito","06069","0606900000","US Senate","statewide",17978,"Democrat","Dianne Feinstein",8607
"CA","San Benito","06069","0606900000","US Senate","statewide",17978,"Democrat","Kevin De Leon",9371
"CA","San Bernardino","06071","0607100000","US Senate","statewide",466463,"Democrat","Dianne Feinstein",233103
"CA","San Bernardino","06071","0607100000","US Senate","statewide",466463,"Democrat","Kevin De Leon",233360
"CA","San Diego","06073","0607300000","US Senate","statewide",995192,"Democrat","Dianne Feinstein",526628
"CA","San Diego","06073","0607300000","US Senate","statewide",995192,"Democrat","Kevin De Leon",468564
"CA","San Francisco","06075","0607500000","US Senate","statewide",352121,"Democrat","Dianne Feinstein",226167
"CA","San Francisco","06075","0607500000","US Senate","statewide",352121,"Democrat","Kevin De Leon",125954
"CA","San Joaquin","06077","0607700000","US Senate","statewide",171439,"Democrat","Dianne Feinstein",79088
"CA","San Joaquin","06077","0607700000","US Senate","statewide",171439,"Democrat","Kevin De Leon",92351
"CA","San Luis Obispo","06079","0607900000","US Senate","statewide",107269,"Democrat","Dianne Feinstein",53242
"CA","San Luis Obispo","06079","0607900000","US Senate","statewide",107269,"Democrat","Kevin De Leon",54027
"CA","San Mateo","06081","0608100000","US Senate","statewide",267815,"Democrat","Dianne Feinstein",168679
"CA","San Mateo","06081","0608100000","US Senate","statewide",267815,"Democrat","Kevin De Leon",99136
"CA","Santa Barbara","06083","0608300000","US Senate","statewide",136491,"Democrat","Dianne Feinstein",75274
"CA","Santa Barbara","06083","0608300000","US Senate","statewide",136491,"Democrat","Kevin De Leon",61217
"CA","Santa Clara","06085","0608500000","US Senate","statewide",568508,"Democrat","Dianne Feinstein",339866
"CA","Santa Clara","06085","0608500000","US Senate","statewide",568508,"Democrat","Kevin De Leon",228642
"CA","Santa Cruz","06087","0608700000","US Senate","statewide",111594,"Democrat","Dianne Feinstein",64178
"CA","Santa Cruz","06087","0608700000","US Senate","statewide",111594,"Democrat","Kevin De Leon",47416
"CA","Shasta","06089","0608900000","US Senate","statewide",55624,"Democrat","Dianne Feinstein",19397
"CA","Shasta","06089","0608900000","US Senate","statewide",55624,"Democrat","Kevin De Leon",36227
"CA","Sierra","06091","0609100000","US Senate","statewide",1314,"Democrat","Dianne Feinstein",506
"CA","Sierra","06091","0609100000","US Senate","statewide",1314,"Democrat","Kevin De Leon",808
"CA","Siskiyou","06093","0609300000","US Senate","statewide",14702,"Democrat","Dianne Feinstein",5772
"CA","Siskiyou","06093","0609300000","US Senate","statewide",14702,"Democrat","Kevin De Leon",8930
"CA","Solano","06095","0609500000","US Senate","statewide",132680,"Democrat","Dianne Feinstein",70174
"CA","Solano","06095","0609500000","US Senate","statewide",132680,"Democrat","Kevin De Leon",62506
"CA","Sonoma","06097","0609700000","US Senate","statewide",193692,"Democrat","Dianne Feinstein",108472
"CA","Sonoma","06097","0609700000","US Senate","statewide",193692,"Democrat","Kevin De Leon",85220
"CA","Stanislaus","06099","0609900000","US Senate","statewide",136099,"Democrat","Dianne Feinstein",58375
"CA","Stanislaus","06099","0609900000","US Senate","statewide",136099,"Democrat","Kevin De Leon",77724
"CA","Sutter","06101","0610100000","US Senate","statewide",24667,"Democrat","Dianne Feinstein",10501
"CA","Sutter","06101","0610100000","US Senate","statewide",24667,"Democrat","Kevin De Leon",14166
"CA","Tehama","06103","0610300000","US Senate","statewide",16688,"Democrat","Dianne Feinstein",5435
"CA","Tehama","06103","0610300000","US Senate","statewide",16688,"Democrat","Kevin De Leon",11253
"CA","Trinity","06105","0610500000","US Senate","statewide",4584,"Democrat","Dianne Feinstein",1746
"CA","Trinity","06105","0610500000","US Senate","statewide",4584,"Democrat","Kevin De Leon",2838
"CA","Tulare","06107","0610700000","US Senate","statewide",82770,"Democrat","Dianne Feinstein",33005
"CA","Tulare","06107","0610700000","US Senate","statewide",82770,"Democrat","Kevin De Leon",49765
"CA","Tuolumne","06109","0610900000","US Senate","statewide",19054,"Democrat","Dianne Feinstein",7783
"CA","Tuolumne","06109","0610900000","US Senate","statewide",19054,"Democrat","Kevin De Leon",11271
"CA","Ventura","06111","0611100000","US Senate","statewide",267242,"Democrat","Dianne Feinstein",137141
"CA","Ventura","06111","0611100000","US Senate","statewide",267242,"Democrat","Kevin De Leon",130101
"CA","Yolo","06113","0611300000","US Senate","statewide",67622,"Democrat","Dianne Feinstein",35071
"CA","Yolo","06113","0611300000","US Senate","statewide",67622,"Democrat","Kevin De Leon",32551
"CA","Yuba","06115","0611500000","US Senate","statewide",15890,"Democrat","Dianne Feinstein",6224
"CA","Yuba","06115","0611500000","US Senate","statewide",15890,"Democrat","Kevin De Leon",9666
"CT","Andover","09013","0901301080","US Senate","statewide",1631,"Democrat","Christopher S Murphy",752
"CT","Andover","09013","0901301080","US Senate","statewide",1631,"Working Families","Christopher S Murphy",54
"CT","Andover","09013","0901301080","US Senate","statewide",1631,"","Fred Linck (write-in)",0
"CT","Andover","09013","0901301080","US Senate","statewide",1631,"Green","Jeff Russell",13
"CT","Andover","09013","0901301080","US Senate","statewide",1631,"","Kristi L Talmadge (write-in)",1
"CT","Andover","09013","0901301080","US Senate","statewide",1631,"Republican","Matthew Corey",794
"CT","Andover","09013","0901301080","US Senate","statewide",1631,"Libertarian","Richard Lion",17
"CT","Ansonia","09009","0900901220","US Senate","statewide",6108,"Democrat","Christopher S Murphy",3142
"CT","Ansonia","09009","0900901220","US Senate","statewide",6108,"Working Families","Christopher S Murphy",242
"CT","Ansonia","09009","0900901220","US Senate","statewide",6108,"","Fred Linck (write-in)",0
"CT","Ansonia","09009","0900901220","US Senate","statewide",6108,"Green","Jeff Russell",31
"CT","Ansonia","09009","0900901220","US Senate","statewide",6108,"","Kristi L Talmadge (write-in)",0
"CT","Ansonia","09009","0900901220","US Senate","statewide",6108,"Republican","Matthew Corey",2653
"CT","Ansonia","09009","0900901220","US Senate","statewide",6108,"Libertarian","Richard Lion",40
"CT","Ashford","09015","0901501430","US Senate","statewide",2037,"Democrat","Christopher S Murphy",1029
"CT","Ashford","09015","0901501430","US Senate","statewide",2037,"Working Families","Christopher S Murphy",76
"CT","Ashford","09015","0901501430","US Senate","statewide",2037,"","Fred Linck (write-in)",0
"CT","Ashford","09015","0901501430","US Senate","statewide",2037,"Green","Jeff Russell",13
